gen,seq,epoch_ms,rss_bytes,heap_total,heap_used,os_free
1789211068009-mem,1,1789211086274,537183720,729808896,537183720,192625176
1789211068009-mem,2,1789211091273,539108344,729808896,539108344,190700552
1789211068009-mem,3,1789211096272,540204520,729808896,540204520,189604376
1789211068009-mem,4,1789211101273,541849128,729808896,541849128,187959768
1789211068009-mem,5,1789211106271,545676096,729808896,545676096,184132800
1789211068009-mem,6,1789211111273,546772272,729808896,546772272,183036624
1789211068009-mem,7,1789211116271,550065464,729808896,550065464,179743432
1789211068009-mem,8,1789211121273,551161632,729808896,551161632,178647264
1789211068009-mem,9,1789211126273,552257784,729808896,552257784,177551112
1789211068009-mem,10,1789211131273,553901992,729808896,553901992,175906904
1789211068009-mem,11,1789211136273,570286680,729808896,570286680,159522216
1789211068009-mem,12,1789211141274,574959360,729808896,574959360,154849536
