gen,seq,delta_ns
1789211068009-tick,1,43026500
1789211068009-tick,2,50512900
1789211068009-tick,3,48594500
1789211068009-tick,4,50536200
1789211068009-tick,5,51166200
1789211068009-tick,6,48995800
1789211068009-tick,7,49376200
1789211068009-tick,8,50567400
1789211068009-tick,9,50005600
1789211068009-tick,10,49922300
1789211068009-tick,11,49879500
1789211068009-tick,12,51127200
1789211068009-tick,13,48388300
1789211068009-tick,14,50077900
1789211068009-tick,15,50283200
1789211068009-tick,16,51077700
1789211068009-tick,17,49474200
1789211068009-tick,18,50835700
1789211068009-tick,19,49091100
1789211068009-tick,20,49169700
1789211068009-tick,21,50818900
1789211068009-tick,22,50085000
1789211068009-tick,23,50063300
1789211068009-tick,24,49773000
1789211068009-tick,25,51020700
1789211068009-tick,26,49518800
1789211068009-tick,27,49310400
1789211068009-tick,28,49467700
1789211068009-tick,29,50307400
1789211068009-tick,30,49957700
1789211068009-tick,31,50366200
1789211068009-tick,32,49973300
1789211068009-tick,33,49321900
1789211068009-tick,34,50171000
1789211068009-tick,35,49881000
1789211068009-tick,36,51331300
1789211068009-tick,37,48925600
1789211068009-tick,38,50531600
1789211068009-tick,39,51016000
1789211068009-tick,40,48347000
1789211068009-tick,41,50244700
1789211068009-tick,42,51276200
1789211068009-tick,43,48487700
1789211068009-tick,44,49782800
1789211068009-tick,45,50789800
1789211068009-tick,46,49947200
1789211068009-tick,47,49929000
1789211068009-tick,48,49556700
1789211068009-tick,49,49898400
1789211068009-tick,50,50192200
1789211068009-tick,51,49974600
1789211068009-tick,52,50460100
1789211068009-tick,53,49879400
1789211068009-tick,54,50160100
1789211068009-tick,55,49954300
1789211068009-tick,56,50397800
1789211068009-tick,57,49729200
1789211068009-tick,58,49103800
1789211068009-tick,59,51827000
1789211068009-tick,60,48676400
1789211068009-tick,61,50606600
1789211068009-tick,62,49257600
1789211068009-tick,63,50229200
1789211068009-tick,64,50046600
1789211068009-tick,65,50381400
1789211068009-tick,66,50650000
1789211068009-tick,67,48338800
1789211068009-tick,68,51138600
1789211068009-tick,69,49068800
1789211068009-tick,70,51319800
1789211068009-tick,71,49624200
1789211068009-tick,72,49677700
1789211068009-tick,73,50344300
1789211068009-tick,74,49211100
1789211068009-tick,75,50254000
1789211068009-tick,76,51263400
1789211068009-tick,77,48658400
1789211068009-tick,78,50608100
1789211068009-tick,79,48919400
1789211068009-tick,80,50044300
1789211068009-tick,81,51477000
1789211068009-tick,82,49093800
1789211068009-tick,83,49472000
1789211068009-tick,84,50131200
1789211068009-tick,85,50493800
1789211068009-tick,86,50239900
1789211068009-tick,87,49186300
1789211068009-tick,88,51247700
1789211068009-tick,89,50511800
1789211068009-tick,90,49578100
1789211068009-tick,91,49468000
1789211068009-tick,92,50956300
1789211068009-tick,93,48126300
1789211068009-tick,94,51391700
1789211068009-tick,95,49377600
1789211068009-tick,96,50051900
1789211068009-tick,97,50014700
1789211068009-tick,98,50641800
1789211068009-tick,99,49171000
1789211068009-tick,100,50015300
1789211068009-tick,101,49972000
1789211068009-tick,102,50769300
1789211068009-tick,103,48886500
1789211068009-tick,104,50380600
1789211068009-tick,105,50114600
1789211068009-tick,106,49426600
1789211068009-tick,107,49693700
1789211068009-tick,108,50564000
1789211068009-tick,109,49572800
