gen,trigger,chunk,epoch_ms,ns_per_op,sink
1789211144065-adapter,started,0,2947,94232.3,135144496
1789211144065-adapter,started,1,3074,54748.0,135144496
1789211144065-adapter,started,2,3109,17460.9,135144496
1789211144065-adapter,started,3,3134,12436.9,135144496
1789211144065-adapter,started,4,3147,6507.3,135144496
1789211144065-adapter,started,5,3164,7994.4,135144496
1789211144065-adapter,started,6,3181,8559.6,135144496
1789211144065-adapter,started,7,3197,8083.0,135144496
1789211144065-adapter,started,8,3212,7151.7,135144496
1789211144065-adapter,started,9,3224,6217.9,135144496
