gen,seq,epoch_ms,rss_bytes,heap_total,heap_used,os_free
1789205075096-mem,1,1789205080130,266254128,603979776,266254128,337725648
1789205075096-mem,2,1789205085128,267737520,603979776,267737520,336242256
1789205075096-mem,3,1789205090128,269658928,603979776,269658928,334320848
1789205075096-mem,4,1789205095129,271282904,603979776,271282904,332696872
1789205075096-mem,5,1789205100128,272175216,603979776,272175216,331804560
1789205075096-mem,6,1789205105127,273799208,603979776,273799208,330180568
1789205075096-mem,7,1789205110128,277968416,603979776,277968416,326011360
1789205075096-mem,8,1789205115128,277968416,603979776,277968416,326011360
1789205075096-mem,9,1789205120127,279592408,603979776,279592408,324387368
1789205075096-mem,10,1789205125128,285338600,603979776,285338600,318641176
1789205075096-mem,11,1789205130127,297803240,603979776,297803240,306176536
1789205075096-mem,12,1789205135127,301291952,603979776,301291952,302687824
1789205075096-mem,13,1789205140127,305423000,603979776,305423000,298556776
1789205075096-mem,14,1789205145127,305423000,603979776,305423000,298556776
1789205075096-mem,15,1789205150128,307047232,603979776,307047232,296932544
1789205075096-mem,16,1789205155128,308671232,603979776,308671232,295308544
1789205075096-mem,17,1789205160127,309680560,603979776,309680560,294299216
1789205075096-mem,18,1789205165127,311304576,603979776,311304576,292675200
1789205075096-mem,19,1789205170127,312928544,603979776,312928544,291051232
1789205075096-mem,20,1789205175127,312928544,603979776,312928544,291051232
1789205075096-mem,21,1789205180128,314552528,603979776,314552528,289427248
1789205075096-mem,22,1789205185127,316176632,603979776,316176632,287803144
1789205075096-mem,23,1789205190127,316176632,603979776,316176632,287803144
1789205075096-mem,24,1789205195126,317800616,603979776,317800616,286179160
