gen,trigger,chunk,epoch_ms,ns_per_op,sink
1789205287309-adapter,started,0,1623,81840.3,134978252
1789205287309-adapter,started,1,1694,21905.6,134978252
1789205287309-adapter,started,2,1727,16423.1,134978252
1789205287309-adapter,started,3,1758,15079.9,134978252
1789205287309-adapter,started,4,1779,10793.1,134978252
1789205287309-adapter,started,5,1796,8381.1,134978252
1789205287309-adapter,started,6,1813,8009.1,134978252
1789205287309-adapter,started,7,1827,7173.0,134978252
1789205287309-adapter,started,8,1841,6929.8,134978252
1789205287309-adapter,started,9,1854,6486.9,134978252
