gen,seq,delta_ns
1789205287309-tick,1,41964600
1789205287309-tick,2,49245800
1789205287309-tick,3,49226800
1789205287309-tick,4,50616300
1789205287309-tick,5,49711300
1789205287309-tick,6,50259200
1789205287309-tick,7,49906900
1789205287309-tick,8,50193300
1789205287309-tick,9,49737500
1789205287309-tick,10,49534700
1789205287309-tick,11,50090200
1789205287309-tick,12,51112100
1789205287309-tick,13,49338700
1789205287309-tick,14,50128600
1789205287309-tick,15,49351100
1789205287309-tick,16,50354200
1789205287309-tick,17,49509900
1789205287309-tick,18,50050000
1789205287309-tick,19,50667600
1789205287309-tick,20,50568800
1789205287309-tick,21,48830200
1789205287309-tick,22,50644500
1789205287309-tick,23,50506300
1789205287309-tick,24,48699500
1789205287309-tick,25,50959700
1789205287309-tick,26,50654300
1789205287309-tick,27,48806700
1789205287309-tick,28,50484700
1789205287309-tick,29,49895000
1789205287309-tick,30,49846900
1789205287309-tick,31,51337600
1789205287309-tick,32,48387700
1789205287309-tick,33,50875600
1789205287309-tick,34,49992600
1789205287309-tick,35,48932200
1789205287309-tick,36,49964700
1789205287309-tick,37,51664400
1789205287309-tick,38,48464700
1789205287309-tick,39,51583800
1789205287309-tick,40,48998700
1789205287309-tick,41,50022200
1789205287309-tick,42,49649400
1789205287309-tick,43,51008400
1789205287309-tick,44,50526700
1789205287309-tick,45,49002100
1789205287309-tick,46,49412000
1789205287309-tick,47,49737000
1789205287309-tick,48,51299600
1789205287309-tick,49,50031500
1789205287309-tick,50,49175200
1789205287309-tick,51,49957500
1789205287309-tick,52,49891900
1789205287309-tick,53,50426300
1789205287309-tick,54,49226300
1789205287309-tick,55,49844400
1789205287309-tick,56,50023200
1789205287309-tick,57,50446600
1789205287309-tick,58,49853400
1789205287309-tick,59,49874500
1789205287309-tick,60,50918400
1789205287309-tick,61,49928200
1789205287309-tick,62,50754700
1789205287309-tick,63,48353400
1789205287309-tick,64,51270000
1789205287309-tick,65,49130500
1789205287309-tick,66,50067200
1789205287309-tick,67,50950900
1789205287309-tick,68,48951900
1789205287309-tick,69,49487800
1789205287309-tick,70,51309700
1789205287309-tick,71,49463200
1789205287309-tick,72,50065200
1789205287309-tick,73,49856100
1789205287309-tick,74,49505700
1789205287309-tick,75,50052300
1789205287309-tick,76,50285200
1789205287309-tick,77,50386400
1789205287309-tick,78,50029900
1789205287309-tick,79,48964000
1789205287309-tick,80,50056500
1789205287309-tick,81,50429200
