gen,seq,epoch_ms,rss_bytes,heap_total,heap_used,os_free
1789208922556-mem,1,1789208927615,279200936,729808896,279200936,450607960
1789208922556-mem,2,1789208932613,280894176,729808896,280894176,448914720
1789208922556-mem,3,1789208937613,281260248,729808896,281260248,448548648
1789208922556-mem,4,1789208942612,282929008,729808896,282929008,446879888
1789208922556-mem,5,1789208947613,285581024,729808896,285581024,444227872
1789208922556-mem,6,1789208952612,287249784,729808896,287249784,442559112
1789208922556-mem,7,1789208957613,289134272,729808896,289134272,440674624
1789208922556-mem,8,1789208962612,290803272,729808896,290803272,439005624
1789208922556-mem,9,1789208967612,292472040,729808896,292472040,437336856
1789208922556-mem,10,1789208972611,304626112,729808896,304626112,425182784
1789208922556-mem,11,1789208977612,310089568,729808896,310089568,419719328
1789208922556-mem,12,1789208982611,310746848,729808896,310746848,419062048
1789208922556-mem,13,1789208987611,313870904,729808896,313870904,415937992
1789208922556-mem,14,1789208992612,315539664,729808896,315539664,414269232
1789208922556-mem,15,1789208997611,317208448,729808896,317208448,412600448
1789208922556-mem,16,1789209002611,318877208,729808896,318877208,410931688
1789208922556-mem,17,1789209007611,318877208,729808896,318877208,410931688
1789208922556-mem,18,1789209012612,320804200,729808896,320804200,409004696
1789208922556-mem,19,1789209017612,322473072,729808896,322473072,407335824
1789208922556-mem,20,1789209022611,322473072,729808896,322473072,407335824
1789208922556-mem,21,1789209027611,324141840,729808896,324141840,405667056
1789208922556-mem,22,1789209032613,325810600,729808896,325810600,403998296
1789208922556-mem,23,1789209037613,325810600,729808896,325810600,403998296
1789208922556-mem,24,1789209042611,327479352,729808896,327479352,402329544
