gen,seq,delta_ns
1789208922556-tick,1,49476400
1789208922556-tick,2,41062500
1789208922556-tick,3,50215700
1789208922556-tick,4,50883900
1789208922556-tick,5,50011500
1789208922556-tick,6,48895500
1789208922556-tick,7,49893800
1789208922556-tick,8,49889200
1789208922556-tick,9,51082900
1789208922556-tick,10,48981200
1789208922556-tick,11,50085400
1789208922556-tick,12,50891900
1789208922556-tick,13,49429100
1789208922556-tick,14,50432600
1789208922556-tick,15,49786400
1789208922556-tick,16,50423700
1789208922556-tick,17,49484000
1789208922556-tick,18,50385100
1789208922556-tick,19,49744100
1789208922556-tick,20,50175400
1789208922556-tick,21,49103700
1789208922556-tick,22,50543200
1789208922556-tick,23,49951500
1789208922556-tick,24,51339500
1789208922556-tick,25,49035000
1789208922556-tick,26,50251200
1789208922556-tick,27,50334500
1789208922556-tick,28,49470700
1789208922556-tick,29,49709600
1789208922556-tick,30,50563600
1789208922556-tick,31,50121900
1789208922556-tick,32,48967700
1789208922556-tick,33,49860700
1789208922556-tick,34,50417800
1789208922556-tick,35,49679400
1789208922556-tick,36,49734300
1789208922556-tick,37,51076600
1789208922556-tick,38,50106100
1789208922556-tick,39,49318700
1789208922556-tick,40,50624400
1789208922556-tick,41,49790500
1789208922556-tick,42,50104300
1789208922556-tick,43,49657800
1789208922556-tick,44,49430100
1789208922556-tick,45,51249600
1789208922556-tick,46,49300700
1789208922556-tick,47,49593700
1789208922556-tick,48,49936700
1789208922556-tick,49,51069600
1789208922556-tick,50,48810900
1789208922556-tick,51,50883800
1789208922556-tick,52,50158800
1789208922556-tick,53,49098200
1789208922556-tick,54,50308000
1789208922556-tick,55,50530200
1789208922556-tick,56,49710200
1789208922556-tick,57,50156400
1789208922556-tick,58,50154000
1789208922556-tick,59,49633000
1789208922556-tick,60,49483400
1789208922556-tick,61,51666200
1789208922556-tick,62,48240400
1789208922556-tick,63,51291000
1789208922556-tick,64,49826200
1789208922556-tick,65,50400100
1789208922556-tick,66,49792900
1789208922556-tick,67,48919000
1789208922556-tick,68,49830400
1789208922556-tick,69,50440100
1789208922556-tick,70,49803200
1789208922556-tick,71,49983200
1789208922556-tick,72,49769100
1789208922556-tick,73,49976000
1789208922556-tick,74,50144200
1789208922556-tick,75,50264200
1789208922556-tick,76,50106800
1789208922556-tick,77,50939000
1789208922556-tick,78,50228700
1789208922556-tick,79,49802200
1789208922556-tick,80,49196800
1789208922556-tick,81,50943900
1789208922556-tick,82,49068400
1789208922556-tick,83,49470100
1789208922556-tick,84,50194300
1789208922556-tick,85,50019200
1789208922556-tick,86,50931700
1789208922556-tick,87,48877500
1789208922556-tick,88,50416000
1789208922556-tick,89,49979200
1789208922556-tick,90,50071600
1789208922556-tick,91,50130400
1789208922556-tick,92,49780500
1789208922556-tick,93,50915800
1789208922556-tick,94,48704400
1789208922556-tick,95,51492100
1789208922556-tick,96,48241800
1789208922556-tick,97,51386900
1789208922556-tick,98,48570300
1789208922556-tick,99,50033100
1789208922556-tick,100,50039800
1789208922556-tick,101,51249200
1789208922556-tick,102,50107600
1789208922556-tick,103,49000400
1789208922556-tick,104,50528700
1789208922556-tick,105,49855700
1789208922556-tick,106,50011500
1789208922556-tick,107,49159100
1789208922556-tick,108,50323200
1789208922556-tick,109,51385300
1789208922556-tick,110,49433900
1789208922556-tick,111,49088300
1789208922556-tick,112,50205300
1789208922556-tick,113,51306700
1789208922556-tick,114,48999600
1789208922556-tick,115,49744700
1789208922556-tick,116,50298900
1789208922556-tick,117,50215400
1789208922556-tick,118,49879700
1789208922556-tick,119,49965700
1789208922556-tick,120,49206600
1789208922556-tick,121,51144800
