gen,trigger,chunk,epoch_ms,ns_per_op,sink
1789209134408-adapter,started,0,1518,73274.2,135187734
1789209134408-adapter,started,1,1568,19308.4,135187734
1789209134408-adapter,started,2,1600,15961.3,135187734
1789209134408-adapter,started,3,1624,11863.7,135187734
1789209134408-adapter,started,4,1645,10274.2,135187734
1789209134408-adapter,started,5,1660,7722.6,135187734
1789209134408-adapter,started,6,1675,7290.8,135187734
1789209134408-adapter,started,7,1690,7205.5,135187734
1789209134408-adapter,started,8,1705,7577.5,135187734
1789209134408-adapter,started,9,1719,6922.4,135187734
